主站点号,电压等级,间隔名称,设备名称,设备大类,信息分类,告警分级,量测类型,动作量词,信号类型,是否上光字牌,主站端描述（合并信息填母点描述）,厂站端描述
0,110kV,公用间隔,集控权限,二次设备,告知,,,PSCADA复归/动作,一般遥信,是,集控/站端,集控/站端
1,110kV,公用间隔,全站事故总,二次设备,事故,,,PSCADA复归/动作,保护事件,是,全站事故总信号,全站事故总信号
2,110kV,1号主变公用,1-7中性点地刀,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,1-7,1-7
3,110kV,1号主变公用,1-7刀闸机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,1-7中性点刀闸照明加热器故障,1-7中性点刀闸照明加热器故障
4,110kV,1号主变110kV侧,101-4刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,101-4,101-4
5,110kV,1号主变110kV侧,101-07接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,101-07,101-07
6,110kV,1号主变110kV侧,101-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,101-27,101-27
7,110kV,1号主变110kV侧,101-47接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,101-47,101-47
8,110kV,1号主变110kV侧,101开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,101,101
9,110kV,1号主变110kV侧,101-2刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,101-2,101-2
10,10kV,1号主变10kV侧,201开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,201,201
11,10kV,1号主变10kV侧,201开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,201开关手车工作位置,201开关手车工作位置
12,110kV,2号主变公用,2-7中性点地刀,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,2-7,2-7
13,110kV,2号主变公用,2-7刀闸机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,2-7中性点刀闸照明加热器故障,2-7中性点刀闸照明加热器故障
14,110kV,2号主变110kV侧,102-4刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,102-4,102-4
15,110kV,2号主变110kV侧,102-07接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,102-07,102-07
16,110kV,2号主变110kV侧,102-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,102-27,102-27
17,110kV,2号主变110kV侧,102-47接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,102-47,102-47
18,110kV,2号主变110kV侧,102开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,102,102
19,110kV,2号主变110kV侧,102-2刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,102-2,102-2
20,10kV,2号主变10kV侧,2021开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,2021,2021
21,10kV,2号主变10kV侧,2021开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,2021开关手车工作位置,2021开关手车工作位置
22,10kV,2号主变10kV侧,2022开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,2022,2022
23,10kV,2号主变10kV侧,2022开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,2022开关手车工作位置,2022开关手车工作位置
24,10kV,2号主变10kV侧,202-2隔离手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,202-2手车工作位置,202-2手车工作位置
25,110kV,3号主变公用,3-7中性点地刀,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,3-7,3-7
26,110kV,3号主变公用,3-7刀闸机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,3-7中性点刀闸照明加热器故障,3-7中性点刀闸照明加热器故障
27,110kV,3号主变110kV侧,103-4刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,103-4,103-4
28,110kV,3号主变110kV侧,103-07接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,103-07,103-07
29,110kV,3号主变110kV侧,103-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,103-27,103-27
30,110kV,3号主变110kV侧,103-47接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,103-47,103-47
31,110kV,3号主变110kV侧,103开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,103,103
32,110kV,3号主变110kV侧,103-2刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,103-2,103-2
33,10kV,3号主变10kV侧,203开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,203,203
34,10kV,3号主变10kV侧,203开关手车,交流刀闸,告知,,位置遥信,PSCADA拉出/推入,一般遥信,是,203开关手车工作位置,203开关手车工作位置
35,110kV,110kV111备用线,111开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,111,111
36,110kV,110kV111备用线,111-2刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,111-2,111-2
37,110kV,110kV111备用线,111-4刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,111-4,111-4
38,110kV,110kV111备用线,111-17接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,111-17,111-17
39,110kV,110kV111备用线,111-27接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,111-27,111-27
40,110kV,110kV111备用线,111-47接地刀闸,接地刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,111-47,111-47
41,110kV,110kV112备用线,112开关,交流开关,变位,,位置遥信,PSCADA分位/合位,一般遥信,是,112,112
42,110kV,110kV112备用线,112-2刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,112-2,112-2
43,110kV,110kV112备用线,112-4刀闸,交流刀闸,告知,,位置遥信,PSCADA分位/合位,一般遥信,是,112-4,112-4
